# Case1_F016_NNE, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6536772.9920	329273.7765	679.1563
1	6536772.9920	329294.5575	773.8066
1	6536772.4920	329333.8385	856.4171
1	6536770.9920	329463.3695	1040.3380
1	6536769.9920	329539.0575	1120.5192
2	6536710.4920	329284.3075	669.0628
2	6536710.4920	329293.8385	773.8066
2	6536709.9920	329333.0885	856.4171
2	6536708.4920	329462.6505	1040.3380
2	6536707.4920	329538.3075	1120.5192
3	6536647.9920	329284.9325	718.8983
3	6536647.9920	329293.0885	773.8066
3	6536647.4920	329332.3695	856.4171
3	6536645.9920	329461.9005	1040.3380
3	6536644.9920	329537.5885	1120.5192
4	6536560.4920	329264.8075	666.9234
4	6536560.4920	329287.1505	762.3806
4	6536559.9920	329331.3385	856.4171
4	6536558.4920	329460.8695	1040.3380
4	6536557.4920	329536.5575	1120.5192
5	6536497.9920	329259.9005	663.7514
5	6536497.9920	329286.4005	762.3806
5	6536497.4920	329330.5885	856.4171
5	6536495.9920	329460.1505	1040.3380
5	6536494.9920	329535.8075	1120.5192
6	6536373.9920	329324.7765	658.5155
6	6536373.9920	329315.7765	716.0265
6	6536373.4920	329331.7135	783.4188
6	6536373.4920	329345.2135	900.3364
6	6536372.4920	329451.2765	1066.9060
6	6536370.4920	329610.4325	1133.0754
7	6536328.4920	329333.9005	661.9805
7	6536328.9920	329321.5265	732.2556
7	6536328.9920	329326.9635	811.5897
7	6536328.4920	329353.1505	909.5935
7	6536327.4920	329450.7445	1066.9060
7	6536325.4920	329609.9005	1133.0754
8	6536283.4920	329339.9005	658.7264
8	6536283.9920	329327.6825	730.9093
8	6536283.9920	329328.8075	795.0509
8	6536283.4920	329352.6195	909.5935
8	6536282.4920	329450.2135	1066.9060
8	6536280.4920	329609.3695	1133.0754
9	6536256.4920	329329.3075	678.5254
9	6536256.4920	329327.3385	730.9093
9	6536256.4920	329341.0575	796.4469
9	6536254.9920	329453.9005	964.7130
9	6536254.4920	329509.4945	1025.0422
9	6536252.9920	329609.0575	1133.0754
