# Case1_F028_NNW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6535169.9920	328522.4635	544.0534
1	6535228.4920	328477.6195	700.0607
1	6535288.9920	328431.3075	855.7931
2	6535187.4920	328571.9005	543.5408
2	6535243.9920	328528.5265	692.2201
2	6535300.9920	328485.1195	840.8990
3	6535202.9920	328607.4005	551.3848
3	6535247.9920	328572.9005	690.8375
3	6535294.4920	328537.1505	809.7137
4	6535220.4920	328656.7765	562.3582
4	6535253.4920	328631.5885	674.7297
4	6535291.9920	328602.0265	758.8891
5	6535239.9920	328689.2135	567.4167
5	6535263.9920	328670.9325	664.3009
5	6535307.4920	328637.4325	758.4307
6	6535257.9920	328722.6505	569.7262
6	6535284.4920	328702.2765	682.0236
6	6535321.9920	328673.7135	757.1200
7	6535267.4920	328778.3385	561.7486
7	6535294.9920	328757.3695	684.1587
