# Case1_F077_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6534357.4920	329973.1825	578.2246
1	6534372.4920	329993.0265	685.9405
1	6534411.9920	330044.2765	868.9425
1	6534475.4920	330127.7765	1033.3825
2	6534313.4920	330018.8075	497.8749
2	6534321.4920	330029.1505	585.1530
2	6534336.9920	330049.6505	671.6241
2	6534375.4920	330099.4005	860.6407
2	6534422.9920	330162.0265	1027.4934
3	6534269.9920	330064.7445	487.2148
3	6534296.4920	330099.0885	671.8274
3	6534334.9920	330149.5265	855.0704
3	6534376.9920	330204.6195	1037.7929
4	6534223.4920	330106.8695	487.5471
4	6534250.9920	330142.8385	649.5193
4	6534290.4920	330194.3695	849.5152
4	6534331.4920	330247.5885	1049.3476
5	6534179.9920	330152.6505	501.2158
5	6534207.4920	330188.4325	680.8687
5	6534240.9920	330232.4325	859.8711
5	6534275.4920	330277.4635	1038.7719
6	6534137.4920	330199.8695	514.2820
6	6534151.4920	330218.5885	651.3862
6	6534183.4920	330259.9005	837.4057
6	6534217.4920	330304.7135	1023.1348
7	6534095.4920	330248.0885	506.0088
7	6534107.9920	330264.1195	676.9346
7	6534134.9920	330299.6195	846.8119
7	6534165.4920	330339.1825	1016.3426
8	6534053.9920	330296.2765	490.9959
8	6534058.4920	330302.2765	650.7257
8	6534083.9920	330335.4945	831.6102
8	6534114.4920	330375.5265	1012.0400
9	6534011.9920	330344.4325	476.1774
9	6534013.9920	330347.1825	655.2298
9	6534036.9920	330377.2765	833.3549
9	6534063.9920	330412.4005	1011.1345
10	6533968.4920	330390.6505	463.3773
10	6533968.9920	330390.9635	558.2971
10	6533968.9920	330390.9635	644.0238
10	6534014.9920	330451.3695	1012.0400
11	6533917.9920	330427.0885	466.1958
11	6533923.9920	330434.9005	649.6153
11	6533946.4920	330464.3695	832.2421
11	6533971.9920	330498.0265	1014.6238
12	6533865.4920	330461.2765	476.2222
12	6533876.9920	330476.5575	644.0268
12	6533931.9920	330548.2445	1018.0141
13	6533816.9920	330500.7765	496.6786
13	6533846.4920	330539.1505	760.0342
13	6533894.9920	330602.9005	1021.5373
14	6533769.9920	330542.2135	521.8914
14	6533794.9920	330575.1195	742.1059
14	6533824.9920	330614.2135	884.0167
14	6533859.9920	330660.1505	1025.2379
