# Case1_F125_NE, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6532490.4920	329466.7445	369.5651
1	6532505.9920	329487.1505	413.0468
1	6532522.9920	329509.2765	457.4974
2	6532471.4920	329462.5265	373.6559
2	6532485.9920	329481.3695	415.7074
2	6532506.9920	329509.1825	455.7944
3	6532451.9920	329457.2765	376.6112
3	6532460.9920	329469.6195	409.6169
3	6532490.9920	329508.3385	453.7809
4	6532426.4920	329444.5885	376.1220
4	6532445.4920	329469.6505	424.4884
4	6532469.4920	329501.1505	449.7688
5	6532410.4920	329444.3075	375.1759
5	6532427.4920	329466.7135	414.8893
5	6532454.9920	329502.9005	450.3830
6	6532380.4920	329446.1825	380.0811
6	6532395.9920	329466.4635	412.2400
6	6532432.4920	329514.2445	451.7872
7	6532344.9920	329440.9635	369.4554
7	6532360.4920	329461.4005	403.9631
7	6532379.4920	329485.9325	432.3346
7	6532409.4920	329525.3695	452.7531
8	6532306.9920	329432.4005	378.7274
8	6532326.4920	329458.0885	407.8191
8	6532355.9920	329496.4945	434.9464
8	6532394.4920	329546.7765	454.8730
9	6532287.9920	329428.3385	375.8617
9	6532319.4920	329469.2765	421.1456
9	6532354.9920	329516.0265	444.7201
9	6532391.4920	329563.4945	457.3294
