# Case1_F133b_EW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6533739.9920	331930.4635	801.9592
1	6533765.9920	331910.7447	917.0947
1	6533827.4920	331863.6510	1027.1581
1	6533910.9920	331799.8385	1131.4609
2	6533780.9920	331977.8385	802.6391
2	6533801.9920	331961.8697	904.5672
2	6533877.4920	331904.1510	1038.0699
2	6533959.9920	331841.1197	1139.2637
3	6533839.9920	332011.5260	808.1285
3	6533875.4920	331984.1822	909.0175
3	6533960.9920	331918.8697	1042.2764
3	6534022.4920	331871.7760	1123.0179
4	6533925.4920	332024.6822	813.4318
4	6533955.4920	332001.9010	911.3949
4	6534021.9920	331951.0260	1038.4967
4	6534075.4920	331909.9947	1115.3978
