# Case1_F149_NS_A18E, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6531469.9920	330436.3385	571.5940
1	6531424.9920	330377.4635	647.2030
1	6531371.9920	330308.3697	727.2161
1	6531319.4920	330239.7760	799.8471
1	6531261.4920	330163.9322	875.5198
2	6531508.9920	330425.6510	545.1251
2	6531482.9920	330391.8072	601.5010
2	6531425.4920	330316.5572	702.7681
2	6531324.4920	330184.8385	836.5053
2	6531283.4920	330131.0260	887.8948
3	6531563.9920	330394.9322	534.1705
3	6531537.9920	330360.4947	592.1924
3	6531470.4920	330272.4322	712.7806
3	6531421.9920	330209.1822	779.9192
3	6531376.9920	330150.4322	832.1163
3	6531325.4920	330082.8385	902.6470
4	6531610.4920	330352.6822	527.0871
4	6531576.9920	330308.9010	589.6838
4	6531517.4920	330231.0885	695.1754
4	6531418.4920	330101.8385	835.0119
4	6531368.4920	330036.3072	903.2263
5	6531630.4920	330337.5885	515.1570
5	6531599.4920	330297.4010	576.3580
5	6531531.9920	330209.0260	690.5394
5	6531436.4920	330083.8697	830.2569
5	6531386.4920	330018.5572	895.7890
6	6531690.4920	330313.1197	508.3782
6	6531651.4920	330262.4010	576.1323
6	6531579.9920	330168.8697	682.8066
6	6531479.4920	330037.7447	822.5151
6	6531431.4920	329974.9010	892.3145
7	6531721.4920	330292.3072	506.5860
7	6531672.9920	330228.7760	593.7530
7	6531591.4920	330122.3697	711.2840
7	6531505.4920	330009.8072	833.2745
7	6531448.9920	329935.9322	912.2179
8	6531755.9920	330275.5885	505.3853
8	6531698.4920	330200.4322	610.9132
8	6531616.9920	330093.8385	721.9003
8	6531533.4920	329984.6197	853.0866
8	6531467.4920	329898.5572	943.9782
9	6531796.4920	330245.9010	504.1509
9	6531733.9920	330164.3072	617.0033
9	6531655.9920	330062.6510	729.8679
9	6531577.4920	329959.9947	860.3408
9	6531502.4920	329861.8385	971.9588
10	6531819.9920	330215.0572	502.3310
10	6531766.9920	330145.6822	624.2908
10	6531702.4920	330061.4010	731.0473
10	6531624.9920	329960.3385	862.3830
10	6531536.9920	329845.3072	982.3220
11	6531878.9920	330168.7135	503.6937
11	6531843.9920	330123.1510	588.3794
11	6531776.9920	330035.4947	740.9777
11	6531692.4920	329925.0885	871.2222
11	6531611.4920	329819.4635	985.9490
12	6531937.9920	330122.7447	505.3272
12	6531890.9920	330061.0885	617.5793
12	6531838.4920	329992.6822	735.0037
12	6531744.9920	329870.3072	902.3729
12	6531682.9920	329789.4947	991.8319
13	6531972.9920	330065.6822	490.8159
13	6531899.4920	329969.6197	695.4162
13	6531783.4920	329817.9322	932.6699
14	6532029.9920	330016.5572	471.7902
14	6531967.9920	329935.4635	667.5300
14	6531885.4920	329827.7447	849.7948
15	6532088.4920	329990.1822	456.3153
15	6532044.9920	329933.3072	593.2470
15	6531966.4920	329830.5572	813.7673
16	6532137.4920	329951.5260	435.6315
16	6532099.9920	329902.5885	584.0450
16	6532052.9920	329840.9322	740.5937
17	6532200.9920	329931.6197	436.3572
17	6532175.4920	329898.3385	543.2660
17	6532135.4920	329846.1510	664.9636
18	6532246.9920	329889.0572	434.0223
18	6532231.9920	329869.3072	492.1997
18	6532213.9920	329845.7760	560.6973
