# name	RiemannianNorth(m)	RiemannianEast(m)	Vertical(m, positive down)
U1	6535280.6835	328659.6653	-91.2000
U2	6535283.1182	328657.6194	-91.2000
U3	6535267.0030	328671.1614	-91.2000
U4	6535278.2417	328661.7175	-91.2000
U4Lateral	6535082.4990	328690.5295	400.9416
U5	6535275.8948	328663.6894	-91.2000
U5A	6535275.8948	328663.6894	-91.2000
U5X	6535275.8948	328663.6894	-91.2000
U6	6535273.4685	328665.7289	-91.2000
U6A	6535273.4685	328665.7289	-91.2000
U6B-Wisting	6535273.4685	328665.7289	-91.2000
U7	6535270.8821	328667.9017	-91.2000
U8	6535268.9402	328669.5344	-91.2000
