0	0	0
9,26	0,11	240,19
19,72	0,26	216,47
29,2	0,57	194,73
38,5	1,11	182,61
45	1,67	176,18
55,2	0,44	294,46
63,5	0,62	313,84
73,8	0,62	318,07
95,7	0,97	18,16
123,7	2,11	37,37
131,5	2,38	36,66
155	1,54	139,57
179,7	4,62	147,32
189,3	5,93	139,22
193,2	6,28	138,34
200,3	7,12	133,81
209,9	9,23	135,54
219,1	11,97	131,44
228,3	15,04	132,99
237,4	17,37	133,74
266,3	28,38	134,15
287,1	36,69	134,09
323,5	49,7	131,18
349	59,37	130,98
381,4	68,31	132,91
410,2	75,59	133,73
439	85,98	135,58
476,3	86,94	133,76
489,8	86,68	133,29
533	88,05	133,67
544,9	88,24	133,61
572,8	89,35	134,23
598,2	89,72	135,39
628,7	90,34	136,57
681,5	90,33	136,12
697	90,58	135,93
738,4	90,52	135,64
